cardId,fields,ord,deckName,factor,interval,note,type,queue,due,reps,lapses,left,mod
1680016774422,"{'wordDictionaryForm': {'value': '<span class="""">忘れる</span>', 'order': 0}, 'sentence': {'value': '<span class=""highlight"">忘れたい</span>思い出が染みついた場所だから', 'order': 1}, 'reading': {'value': 'わすれる', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>to forget</li><li>to leave carelessly</li><li>to be forgetful of</li><li>to forget about</li><li>to forget (an article)</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>とても物心を忘れやすい。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">He\'s very forgetful of things.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_わすれる_忘れる_2023-02-28-15-19-34.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-11_00-13_2023-03-28-17-19-42.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-12_2023-03-28-17-19-43.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'わすれる', 'order': 7}, 'frequency': {'value': '233', 'order': 8}}",0,Clannad,1900,5,1680016774421,2,2,180,29,3,1001,1683395024
1680016819459,"{'wordDictionaryForm': {'value': '<span class="""">思い出</span>', 'order': 0}, 'sentence': {'value': '忘れたい<span class=""highlight"">思い出</span>が染みついた場所だから', 'order': 1}, 'reading': {'value': 'おもいで', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>memories</li><li>recollections</li><li>reminiscence</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>貴重な思い出料としては安いものですよ。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">That\'ll make for a memorable time.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_おもいで_思い出_2023-02-28-15-20-19.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-11_00-13_2023-03-28-17-20-21.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-12_2023-03-28-17-20-22.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'おもいで', 'order': 7}, 'frequency': {'value': '1184', 'order': 8}}",0,Clannad,2500,24,1680016819458,2,2,184,8,0,1001,1682104792
1680016941463,"{'wordDictionaryForm': {'value': '<span class="""">場所</span>', 'order': 0}, 'sentence': {'value': '忘れたい思い出が染みついた<span class=""highlight"">場所</span>だから', 'order': 1}, 'reading': {'value': 'ばしょ', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>place</li><li>location</li><li>spot</li><li>position</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>このソファーは場所を取りすぎる。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">This sofa takes too much room.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_ばしょ_場所_2023-02-28-15-22-20.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-11_00-13_2023-03-28-17-22-26.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-12_2023-03-28-17-22-27.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'ばしょ', 'order': 7}, 'frequency': {'value': '138', 'order': 8}}",0,Clannad,1300,1,1680016941463,2,2,178,82,9,1001,1683554193
1680017109657,"{'wordDictionaryForm': {'value': '<span class="""">だから</span>', 'order': 0}, 'sentence': {'value': '忘れたい思い出が染みついた場所<span class=""highlight"">だから</span>', 'order': 1}, 'reading': {'value': 'だから', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>so</li><li>therefore</li><li>accordingly</li><li>consequently</li><li>on those grounds</li><li>that is why</li><li>for that reason</li></ul><ul data-sc-content=""references"" lang=""en"" style=""list-style-type: &quot;➡️ &quot;;""><li>see: <a lang=""ja"" href=""#""><span>ですから</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> so; therefore; accordingly; consequently; on those grounds; that is why; for that reason</span></li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>１日中テニスをしていたのだから。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">He was playing tennis all day.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_だから_だから_2023-02-28-15-25-09.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-11_00-13_2023-03-28-17-25-10.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-12_2023-03-28-17-25-11.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'だから', 'order': 7}, 'frequency': {'value': '89', 'order': 8}}",0,Clannad,2500,22,1680017109657,2,2,182,17,0,1001,1682104900
1680017179207,"{'wordDictionaryForm': {'value': '<span class="""">通い</span>', 'order': 0}, 'sentence': {'value': '毎日学校に<span class=""highlight"">通い</span>、友達とだべり、帰りたくもない家に帰る', 'order': 1}, 'reading': {'value': 'かよい', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;"">coming and going | commuting</div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_かよい_通い_2023-02-28-15-26-18.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-17_00-22_2023-03-28-17-26-22.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-19_2023-03-28-17-26-22.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'かよい', 'order': 7}, 'frequency': {'value': '16433', 'order': 8}}",0,Clannad,2300,1,1680017179206,3,1,1683658240,5,1,1001,1683657517
1680017203801,"{'wordDictionaryForm': {'value': '<span class="""">駄弁る</span>', 'order': 0}, 'sentence': {'value': '毎日学校に通い、友達と<span class=""highlight"">だべり</span>、帰りたくもない家に帰る', 'order': 1}, 'reading': {'value': 'だべる', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>to jabber</li><li>to chatter</li><li>to chat with</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>ダベってないで仕事しろ。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">Stop shooting the breeze and get to work!</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_だべる_駄弁る_2023-02-28-15-26-43.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-17_00-22_2023-03-28-17-28-22.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-19_2023-03-28-17-28-22.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'だべる', 'order': 7}, 'frequency': {'value': '18708', 'order': 8}}",0,Clannad,2500,3,1680017203801,2,2,181,6,0,1001,1683657137
1680017371375,"{'wordDictionaryForm': {'value': '<span class="""">こうする</span>', 'order': 0}, 'sentence': {'value': '<span class=""highlight"">こうしていて</span>、いつか何かが変わるんだろうか？', 'order': 1}, 'reading': {'value': 'こうする', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;"">to resist | to defy</div>', 'order': 3}, 'wordAudio': {'value': '', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-23_00-27_2023-03-28-17-29-39.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-25_2023-03-28-17-29-39.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'こうする', 'order': 7}, 'frequency': {'value': '16532', 'order': 8}}",0,Clannad,2500,1,1680017371375,2,2,178,4,0,1001,1683551762
1680017398724,"{'wordDictionaryForm': {'value': '<span class="""">つか</span>', 'order': 0}, 'sentence': {'value': 'こうしていて、い<span class=""highlight"">つか</span>何かが変わるんだろうか？', 'order': 1}, 'reading': {'value': 'つか', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>or rather (say)</li><li>or better (say)</li><li>or perhaps I should say</li><li>or, how should I put it,...</li><li>I mean</li></ul><ul data-sc-content=""references"" lang=""en"" style=""list-style-type: &quot;➡️ &quot;;""><li>see: <a lang=""ja"" href=""#""><span>と言うか</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> or rather (say); or better (say); or perhaps I should say; or, how should I put it; I mean</span></li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>ってゆーか、こうやってぐじぐじ考えるのが情けないんじゃないのか？</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">Or rather, is it not just pathetic that I think such whiny thoughts like this?</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-23_00-27_2023-03-28-17-30-00.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-25_2023-03-28-17-30-00.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'つか', 'order': 7}, 'frequency': {'value': '38595', 'order': 8}}",0,Clannad,2500,1,1680017398723,2,2,178,2,0,1001,1683558620
1680017519561,"{'wordDictionaryForm': {'value': '<span class="""">変わる</span>', 'order': 0}, 'sentence': {'value': 'こうしていて、いつか何かが<span class=""highlight"">変わる</span>んだろうか？', 'order': 1}, 'reading': {'value': 'かわる', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>to change</li><li>to be transformed</li><li>to be altered</li><li>to vary</li></ul><ul data-sc-content=""examples"" lang=""ja"" style=""list-style-type: &quot;🇯🇵 &quot;;""><li>私のE-mailアドレスが変わりました。</li><li lang=""en"" style=""list-style-type: &quot;🇬🇧 &quot;;"">My e-mail address has been changed.</li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '[sound:yomichan_audio_かわる_変わる_2023-02-28-15-31-58.mp3]', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-23_00-27_2023-03-28-17-32-00.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-25_2023-03-28-17-32-00.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'かわる', 'order': 7}, 'frequency': {'value': '152', 'order': 8}}",0,Clannad,1500,8,1680017519561,2,2,183,55,5,1001,1683394948
1680017631815,"{'wordDictionaryForm': {'value': '<span class="""">とてもとても</span>', 'order': 0}, 'sentence': {'value': '私は<span class=""highlight"">とっても、とっても</span>好きです', 'order': 1}, 'reading': {'value': 'とてもとても', 'order': 2}, 'definition': {'value': '<div style=""text-align: left;""><span><ul data-sc-content=""glossary"" lang=""en"" style=""list-style-type: circle;""><li>(not) at all</li><li>(not) by any means</li><li>(cannot) possibly</li><li>absolutely</li></ul><ul data-sc-content=""notes"" lang=""ja"" style=""list-style-type: &quot;📝 &quot;;""><li>emphatic; with neg. sentence</li></ul><ul data-sc-content=""references"" lang=""en"" style=""list-style-type: &quot;➡️ &quot;;""><li>see: <a lang=""ja"" href=""#""><span>とても</span></a><span data-sc-content=""refGlosses"" style=""font-size: 65%; vertical-align: middle;""> 2. (not) at all; by no means; simply (cannot)</span></li></ul></span></div>', 'order': 3}, 'wordAudio': {'value': '', 'order': 4}, 'sentenceAudio': {'value': '[sound:ab_Clannad_1_00-54_00-57_2023-03-28-17-33-53.mp3]', 'order': 5}, 'picture': {'value': '<img src=""ab_Clannad_1_00-55_2023-03-28-17-33-53.jpg"">', 'order': 6}, 'pitchAccent': {'value': 'とてもとても', 'order': 7}, 'frequency': {'value': '25931', 'order': 8}}",0,Clannad,2500,1,1680017631815,2,2,178,3,0,1001,1683558094
